name,arr_raw,dep_raw,date_arr_raw,date_dep_raw,code,tz,lat,lon
Cheyenne Yard,,8:00 AM MDT,03/29/2026,03/29/2026,UCHY,America/Denver,41.1297702,-104.8136968
Laramie Railroad Depot,11:15 AM MDT,11:45 AM MDT,03/29/2026,03/29/2026,ULAR,America/Denver,41.30824395,-105.596473
Medicine Bow,1:30 PM MDT,2:00 PM MDT,03/29/2026,03/29/2026,UMCF,America/Denver,41.89485452,-106.20078
Rawlins Yard,,9:00 AM MDT,03/30/2026,03/30/2026,URWL,America/Denver,41.78688624,-107.2385166
Wamsutter,10:30 AM MDT,11:00 AM MDT,03/30/2026,03/30/2026,UWAM,America/Denver,41.67124132,-107.9716115
Rock Springs Downtown,10:00 AM MDT,2:00 PM MDT,03/31/2026,03/31/2026,URSD,America/Denver,41.58677021,-109.2216471
Rock Springs Yard,,9:00 AM MDT,04/01/2026,04/01/2026,USRY,America/Denver,41.58100123,-109.2259091
Green River Depot,10:00 AM MDT,10:30 AM MDT,04/01/2026,04/01/2026,UGRI,America/Denver,41.52682933,-109.466102
Evanston Yard,,9:00 AM MDT,04/02/2026,04/02/2026,UEVA,America/Denver,41.27112286,-110.9691715
Morgan Depot,11:45 AM MDT,12:15 PM MDT,04/02/2026,04/02/2026,UMOR,America/Denver,41.04364776,-111.670769
Salt Lake Central,3:00 PM MDT,5:00 PM MDT,04/02/2026,04/02/2026,SLC,America/Denver,40.761661,-111.908349
Salt Lake City Yard,,9:00 AM MDT,04/04/2026,04/04/2026,USLC,America/Denver,40.714194,-111.910006
Wells,4:15 PM PDT,4:45 PM PDT,04/04/2026,04/04/2026,UWEL,America/Los_Angeles,41.11123429,-114.9763902
Elko Yard,,9:00 AM PDT,04/06/2026,04/06/2026,ELK,America/Los_Angeles,40.836483,-115.75053
Carlin,10:00 AM PDT,10:30 AM PDT,04/06/2026,04/06/2026,UCAR,America/Los_Angeles,40.70909827,-116.1172593
Battle Mountain,12:30 PM PDT,1:00 PM PDT,04/06/2026,04/06/2026,UBMN,America/Los_Angeles,40.64173488,-116.9333065
Winnemucca,,9:00 AM PDT,04/07/2026,04/07/2026,WNN,America/Los_Angeles,40.969044,-117.73221
Gerlach,12:30 PM PDT,12:45 PM PDT,04/07/2026,04/07/2026,UGLC,America/Los_Angeles,40.65161787,-119.3532473
Western Pacific Railroad Museum,9:00 AM PDT,5:30 PM PDT,04/08/2026,04/08/2026,UPWP,America/Los_Angeles,39.80381851,-120.4761415
Portola Yard,,8:00 AM PDT,04/09/2026,04/09/2026,UPLY,America/Los_Angeles,39.80451621,-120.4768769
Oroville Old Depot,2:00 PM PDT,2:30 PM PDT,04/09/2026,04/09/2026,UORO,America/Los_Angeles,39.51225544,-121.5523698
Marysville,3:30 PM PDT,3:45 PM PDT,04/09/2026,04/09/2026,UMAY,America/Los_Angeles,39.14293185,-121.5848348
Lincoln,4:30 PM PDT,4:45 PM PDT,04/09/2026,04/09/2026,ULCN,America/Los_Angeles,38.8944514,-121.2934406
Roseville Yard,1:00:00 PM PDT,9:30 AM PDT,04/10/2026,04/12/2026,RSV,America/Los_Angeles,38.750016,-121.286286
Colfax,12:00 PM PDT,12:45 PM PDT,04/12/2026,04/12/2026,COX,America/Los_Angeles,39.099172,-120.953075
Truckee,4:45 PM PDT,5:00 PM PDT,04/12/2026,04/12/2026,TRU,America/Los_Angeles,39.327616,-120.185387
